"","country","year","ir_tb","num_tb_cases","population","impwater"
"4","Argentina",2012,25,10000,41086927,98.7
"8","Bolivia",2012,127,13000,10496285,88.1
"12","Brazil",2012,47,93000,198656019,97.5
"16","Chile",2012,16,2800,17464814,98.8
"20","Colombia",2012,33,16000,47704427,91.2
"24","Costa Rica",2012,12,570,4805295,96.6
"28","Cuba",2012,9.3,1100,11270957,94
"32","Dominican Republic",2012,62,6400,10276621,80.9
"36","Ecuador",2012,59,9100,15492264,86.4
"40","El Salvador",2012,37,2300,6297394,90.1
"44","Guatemala",2012,60,9100,15082831,93.8
"48","Guyana",2012,109,870,795369,97.6
"52","Haiti",2012,213,22000,10173775,62.4
"56","Honduras",2012,54,4200,7935846,89.6
"60","Mexico",2012,21,25000,120847477,94.9
"64","Nicaragua",2012,54,3200,5991733,85
"68","Panama",2012,49,1900,3802281,94.3
"72","Paraguay",2012,45,3000,6687361,93.8
"76","Peru",2012,127,38000,29987800,86.8
"80","Suriname",2012,42,220,534541,95.2
"84","Trinidad and Tobago",2012,22,290,1337439,NA
"88","Uruguay",2012,28,950,3395253,99.5
"92","Venezuela",2012,33,9900,29954782,NA
